ID,1.1.,1.2.,2.1.,2.2.,3.1.,3.2.,4.1.,4.2.,5.1.,5.2.,6.1.,6.2.,7.1.,7.2.,8.1.,8.2.,9.1.,9.2.,10.1.,10.2.,11.1.,11.2.,12.1.,12.2.,13.1.,13.2.,14.1.,14.2.,15.1.,15.2.
1,0,0,0,0,0,5,0,5,0,4,0,2,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2
2,0,4,0,0,0,0,2,8,0,2,0,5,0,7,0,0,0,3,0,2,0,0,0,6,0,0,2,5,3,8
3,0,3,2,2,3,5,3,5,0,7,1,2,0,8,0,1,1,2,0,0,0,0,0,6,0,2,2,4,3,10
4,0,2,1,4,1,7,3,10,0,8,0,5,3,8,3,6,1,5,2,8,1,2,3,7,3,3,2,5,3,10
5,0,3,1,4,1,3,2,5,1,2,1,2,1,4,1,3,2,5,1,3,1,3,2,6,1,4,1,4,3,9
6,1,5,1,5,0,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,4,3,10
7,1,3,0,2,1,2,2,5,1,3,0,3,0,3,0,1,0,2,0,0,0,2,0,2,1,2,0,2,3,8
8,1,10,0,0,0,0,3,10,2,10,0,1,1,10,3,10,3,8,3,8,2,9,0,10,0,0,3,10,3,10
9,2,5,1,5,0,0,2,6,1,4,0,0,0,1,2,7,1,4,0,0,1,1,1,3,0,0,0,0,3,10
10,0,1,2,8,0,1,3,9,3,9,0,1,0,1,3,9,2,6,0,1,2,9,0,1,0,1,3,9,3,9
11,1,7,1,5,2,6,1,4,0,8,1,3,1,5,2,7,0,2,0,0,1,8,0,4,0,0,1,3,3,10
12,2,10,1,6,1,4,2,5,2,6,1,2,1,4,1,5,1,2,0,5,1,3,2,7,2,8,1,4,3,9
13,0,3,0,2,0,8,1,5,0,0,0,1,0,2,0,3,0,3,0,2,0,3,0,5,0,0,1,5,2,8
14,0,0,3,8,2,7,1,5,0,1,0,0,1,4,2,5,1,0,1,1,3,5,1,3,2,3,3,5,3,3
15,1,4,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4
16,2,3,3,9,3,10,3,10,2,6,2,5,3,8,3,10,3,10,2,5,3,10,3,10,2,6,3,10,3,10
17,0,5,2,5,2,5,3,5,2,5,1,5,3,5,2,5,2,5,2,5,0,5,0,5,0,5,3,5,3,5
18,1,7,2,3,0,3,3,6,2,3,0,2,1,2,2,4,1,3,1,4,0,2,2,3,0,0,2,5,2,7
19,2,7,1,8,0,9,0,8,1,8,0,10,3,6,2,6,2,7,2,6,1,10,3,9,0,7,2,9,3,5
20,0,3,0,0,0,5,3,10,3,10,0,4,0,2,2,8,0,1,3,9,0,5,1,5,0,0,0,0,3,10
21,1,10,0,5,0,10,0,8,0,7,0,3,0,5,1,10,0,3,0,10,0,6,0,8,0,10,0,10,1,10
